epoch,step,test_acc,test_f1,test_loss,train_acc,train_loss,val_acc,val_f1,val_loss
0,9,,,,,0.6503126621246338,,,
0,19,,,,,0.6686655879020691,,,
0,29,,,,,0.6625841856002808,,,
0,39,,,,,0.5988678932189941,,,
0,49,,,,,0.2811155319213867,,,
0,59,,,,,0.029502253979444504,,,
0,69,,,,,0.007202064618468285,,,
0,79,,,,,0.003760770196095109,,,
0,89,,,,,0.0031487082596868277,,,
0,99,,,,,0.0016773267416283488,,,
0,109,,,,,0.0016409510280936956,,,
0,119,,,,,0.0010330717777833343,,,
0,129,,,,,0.0010321099543944001,,,
0,139,,,,,0.0009080470772460103,,,
0,149,,,,,0.0008410034351982176,,,
0,149,,,,,,1.0,1.0,0.00048617724678479135
0,149,,,,0.8949999809265137,,,,
1,159,,,,,0.0007884051883593202,,,
1,169,,,,,0.0006835025269538164,,,
1,179,,,,,0.0006446823244914412,,,
1,189,,,,,0.0005598344723694026,,,
1,199,,,,,0.0005761643406003714,,,
1,209,,,,,0.0005719494074583054,,,
1,219,,,,,0.0004466624523047358,,,
1,229,,,,,0.000568263465538621,,,
1,239,,,,,0.0004239388508722186,,,
1,249,,,,,0.0005445358692668378,,,
1,259,,,,,0.0004929493297822773,,,
1,269,,,,,0.0006103881751187146,,,
1,279,,,,,0.00042280773050151765,,,
1,289,,,,,0.0004011042765341699,,,
1,299,,,,,0.0003866907791234553,,,
1,299,,,,,,1.0,1.0,0.00022652027837466449
1,299,,,,1.0,,,,
2,309,,,,,0.0004394125135149807,,,
2,319,,,,,0.0003326542500872165,,,
2,329,,,,,0.00033982921740971506,,,
2,339,,,,,0.0003311881155241281,,,
2,349,,,,,0.00045426690485328436,,,
2,359,,,,,0.0003443806490395218,,,
2,369,,,,,0.00029614329105243087,,,
2,379,,,,,0.0003435504622757435,,,
2,389,,,,,0.0003524428466334939,,,
2,399,,,,,0.0003066983772441745,,,
2,409,,,,,0.00037630076985806227,,,
2,419,,,,,0.0002942209248431027,,,
2,429,,,,,0.00029727633227594197,,,
2,439,,,,,0.00037287597660906613,,,
2,449,,,,,0.00033457446261309087,,,
2,449,,,,,,1.0,1.0,0.00018243306840304285
2,449,,,,1.0,,,,
3,450,1.0,1.0,0.0004874833393841982,,,,,
